LocationID,LocationAbbr,Stratification1,Year,yhat,yhat_lower,yhat_upper
01001,AL,Ages 65+ years,2030,1821.9266676990517,1716.888036572824,1925.5218688853065
01003,AL,Ages 65+ years,2030,1364.7889112845116,1287.5002294420685,1440.5170771385335
01005,AL,Ages 65+ years,2030,2070.2127352055404,1969.335355284516,2167.8952848838444
01007,AL,Ages 65+ years,2030,2074.4246256622087,1944.1873416384617,2195.006395158676
01009,AL,Ages 65+ years,2030,1944.9785961018779,1860.0584050174273,2024.035111332369
01011,AL,Ages 65+ years,2030,1956.645112079294,1851.7850566563347,2057.9604901188536
01013,AL,Ages 65+ years,2030,1544.3131506926338,1446.2883146915062,1657.0006317923246
01015,AL,Ages 65+ years,2030,2471.998718319398,2425.801059772928,2515.6835561644048
01017,AL,Ages 65+ years,2030,1732.5923668422934,1630.5151351159627,1834.8086698824416
01019,AL,Ages 65+ years,2030,1581.518217012699,1525.2190267784545,1637.7183865287761
01021,AL,Ages 65+ years,2030,2289.162697661382,2186.106739909348,2394.084330766874
01023,AL,Ages 65+ years,2030,2021.9513999476974,1921.9688767957666,2132.764630688404
01025,AL,Ages 65+ years,2030,1768.2222005563276,1676.3671729185114,1859.9693376702369
01027,AL,Ages 65+ years,2030,2172.252334417072,2077.668581780632,2255.7571402290405
01029,AL,Ages 65+ years,2030,2112.9722284858763,2027.1852745216722,2213.296341572619
01031,AL,Ages 65+ years,2030,2147.122650993321,2035.0243274346446,2250.3385319391296
01033,AL,Ages 65+ years,2030,1988.623891606909,1610.4465113453123,2326.766014387133
01035,AL,Ages 65+ years,2030,1886.433486200069,1789.2521366434228,1991.5881203605672
01037,AL,Ages 65+ years,2030,1893.0758423110647,1810.5309824407937,1971.7968123049445
01039,AL,Ages 65+ years,2030,2087.795766375797,2046.3326067041778,2127.074448630912
01041,AL,Ages 65+ years,2030,2168.220092284499,2067.67437593728,2264.9346540353217
01043,AL,Ages 65+ years,2030,2362.356183045541,2243.60630867478,2490.042310840355
01045,AL,Ages 65+ years,2030,1671.1699643058782,1588.3740139130407,1757.7223580682546
01047,AL,Ages 65+ years,2030,2433.9096125353435,2296.651148700053,2567.93481213664
01049,AL,Ages 65+ years,2030,1997.7597001270944,1918.283400170281,2084.1603828141924
01051,AL,Ages 65+ years,2030,2343.5087397144275,2266.379096943206,2425.3299009597117
01053,AL,Ages 65+ years,2030,2052.576564577864,1957.1837551028452,2152.158599786423
01055,AL,Ages 65+ years,2030,2027.0196279309935,1966.8614170032174,2087.193973774703
01057,AL,Ages 65+ years,2030,1949.3228040409326,1871.074016404663,2022.906052581553
01059,AL,Ages 65+ years,2030,1872.7128527857715,1752.364840012181,1989.1061792741834
01061,AL,Ages 65+ years,2030,1817.0083969015338,1728.8465646602383,1909.7668333383679
01063,AL,Ages 65+ years,2030,1792.5016783726455,1679.6415604272524,1908.812307903668
01065,AL,Ages 65+ years,2030,1860.476706571735,1756.0958553100609,1955.6164386120818
01067,AL,Ages 65+ years,2030,1466.8339205807001,1391.777448052494,1539.0924745197779
01069,AL,Ages 65+ years,2030,1927.8853861938062,1874.6881577972626,1984.832703225704
01071,AL,Ages 65+ years,2030,2196.292404624261,2152.9335923853896,2243.19341259832
01073,AL,Ages 65+ years,2030,1787.350132506085,1721.2051469924206,1848.045721609144
01075,AL,Ages 65+ years,2030,1708.4299249331605,1615.3225612178107,1796.5354726330866
01077,AL,Ages 65+ years,2030,1688.7790516805187,1645.1196817694301,1733.8781790848186
01079,AL,Ages 65+ years,2030,1971.779612024748,1880.157055144543,2056.49228979302
01081,AL,Ages 65+ years,2030,1177.439147254913,1164.4380278478761,1189.5302269921597
01083,AL,Ages 65+ years,2030,2174.843964091551,2063.464580731913,2291.8917426955163
01085,AL,Ages 65+ years,2030,1883.375485150193,1789.292512113019,1980.6701719466928
01087,AL,Ages 65+ years,2030,2454.765251748194,2352.527189053539,2553.7227721098607
01089,AL,Ages 65+ years,2030,1852.2766577878533,1818.291382229115,1890.895229468507
01091,AL,Ages 65+ years,2030,1843.3956020006372,1745.434051024978,1936.1657419756577
01093,AL,Ages 65+ years,2030,1871.759290369894,1797.6426691593056,1943.144016544876
