LocationID,LocationAbbr,Stratification1,Year,yhat,yhat_lower,yhat_upper
51690,VA,Ages 65+ years,2030,4429.644119229546,4206.028419977518,4633.212405979479
05143,AR,Ages 65+ years,2030,3259.89168566913,3170.045002925706,3353.3404746495844
01127,AL,Ages 65+ years,2030,3233.4290111457,3156.7516370281396,3304.0230817578035
51580,VA,Ages 65+ years,2030,3212.2941753006526,3125.890072671385,3297.553113774475
20095,KS,Ages 65+ years,2030,3128.938456334432,3001.0254267143555,3253.2027315314167
22041,LA,Ages 65+ years,2030,3074.7866044126736,2952.664582951733,3214.2432858711177
28083,MS,Ages 65+ years,2030,3057.7674320817214,2951.353811274549,3171.6386044481756
40101,OK,Ages 65+ years,2030,3004.1995555849694,2960.970464041311,3047.5240241390447
24045,MD,Ages 65+ years,2030,2980.9910139966873,2831.9766071768045,3131.004808299318
28113,MS,Ages 65+ years,2030,2969.634346940882,2837.2176782707547,3097.3980272255167
